Quarter,Game Clock (s),Basket,Boxer ID,Target ID,Boxer Team,Target Team,Boxer Distance to Basket (ft),Target Distance to Basket (ft),Distance Between Players (ft)
Q4,468.35,Right,203469,200768,1610612766,1610612761,0.68,1.6,1.62
Q4,451.54,Left,203469,202687,1610612766,1610612761,6.39,6.62,1.11
Q4,451.54,Left,202689,202709,1610612766,1610612761,8.73,9.51,2.32
Q4,417.14,Left,203087,203082,1610612766,1610612761,6.97,7.03,0.78
Q4,417.14,Left,203469,202709,1610612766,1610612761,2.3,3.47,1.87
Q4,403.9,Right,202687,203469,1610612761,1610612766,3.42,5.39,2.53
Q4,394.75,Left,203469,202709,1610612766,1610612761,14.36,15.58,1.23
Q4,384.35,Right,202689,202687,1610612766,1610612761,2.89,4.56,2.2
Q4,384.35,Right,203469,200768,1610612766,1610612761,4.5,5.46,2.24
Q4,377.43,Right,200768,203148,1610612761,1610612766,6.63,7.89,1.61
Q4,356.0,Left,203082,203469,1610612761,1610612766,10.96,12.57,1.74
Q4,356.0,Left,201942,101107,1610612761,1610612766,14.95,16.61,2.89
Q4,356.0,Left,202335,201587,1610612761,1610612766,7.34,11.73,4.4
Q4,345.7,Right,203082,203087,1610612761,1610612766,3.41,6.91,3.58
Q4,316.82,Left,203087,203082,1610612766,1610612761,5.16,7.46,2.3
Q4,295.67,Right,203469,202687,1610612766,1610612761,5.37,6.45,1.63
Q4,286.15,Left,202687,203469,1610612761,1610612766,9.15,12.39,3.33
Q4,260.27,Right,101107,201942,1610612766,1610612761,6.07,7.73,2.38
Q4,247.95,Left,203082,203087,1610612761,1610612766,9.37,12.63,3.51
Q4,222.4,Left,201960,203469,1610612761,1610612766,2.09,4.17,2.25
Q4,222.4,Left,203082,101107,1610612761,1610612766,7.05,9.37,3.54
Q4,210.12,Right,202687,203469,1610612761,1610612766,2.95,4.05,1.23
Q4,187.49,Left,202687,203469,1610612761,1610612766,4.9,9.83,4.93
Q4,175.65,Right,202687,203469,1610612761,1610612766,3.2,3.44,1.97
Q4,117.26,Right,101107,202687,1610612766,1610612761,5.52,6.38,1.57
Q4,81.74,Right,201960,201587,1610612761,1610612766,3.06,3.49,1.79
Q4,50.63,Right,203469,201942,1610612766,1610612761,2.29,3.08,2.02
Q4,50.63,Right,202685,1626163,1610612761,1610612766,3.29,4.22,2.61
Q4,50.63,Right,201960,202689,1610612761,1610612766,6.74,11.21,4.74
Q4,49.63,Right,101107,201942,1610612766,1610612761,1.89,3.46,1.57
Q4,49.63,Right,1626163,201960,1610612766,1610612761,2.91,4.38,2.16
Q4,29.1,Right,203469,202685,1610612766,1610612761,2.6,4.42,1.83
Q4,29.1,Right,101107,200768,1610612766,1610612761,8.96,11.31,2.36
Q4,20.1,Left,101107,200768,1610612766,1610612761,9.6,11.43,3.35
Q4,20.1,Left,202685,203469,1610612761,1610612766,7.25,10.6,4.14
Q4,16.3,Right,203469,202685,1610612766,1610612761,6.68,8.84,3.42
Q4,16.3,Right,101107,203082,1610612766,1610612761,6.85,9.32,4.0
Q4,6.9,Left,101107,203082,1610612766,1610612761,14.49,16.16,2.55
Q4,6.9,Left,200768,202689,1610612761,1610612766,9.36,9.7,3.42
